device_name,logical_name,item,stats_type,value,och,center_frequency,och_group,time,side,pn
T3,/1/1/L1,preFecBer,avg,0.00185,1,191400000,1,2000/1/1 00:00,Z,ot1
T3,/1/3/L1,preFecBer,avg,0.00226,2,191600000,1,2000/1/1 00:00,Z,ot1
T3,/1/5/L1,preFecBer,avg,0.00262,3,191800000,1,2000/1/1 00:00,Z,ot1
T3,/1/1/L1,preFecBer,instant,0.00183,1,191400000,1,2000/1/1 00:00,Z,ot1
T3,/1/3/L1,preFecBer,instant,0.00226,2,191600000,1,2000/1/1 00:00,Z,ot1
T3,/1/5/L1,preFecBer,instant,0.00263,3,191800000,1,2000/1/1 00:00,Z,ot1
T3,/1/1/L1,preFecBer,max,0.0019,1,191400000,1,2000/1/1 00:00,Z,ot1
T3,/1/3/L1,preFecBer,max,0.00231,2,191600000,1,2000/1/1 00:00,Z,ot1
T3,/1/5/L1,preFecBer,max,0.00271,3,191800000,1,2000/1/1 00:00,Z,ot1
T3,/1/1/L1,preFecBer,min,0.00178,1,191400000,1,2000/1/1 00:00,Z,ot1
T3,/1/3/L1,preFecBer,min,0.00219,2,191600000,1,2000/1/1 00:00,Z,ot1
T3,/1/5/L1,preFecBer,min,0.00251,3,191800000,1,2000/1/1 00:00,Z,ot1
T4,/1/1/L1,preFecBer,avg,2.74E-05,6,191500000,2,2000/1/1 00:00,Z,ot1
T4,/1/2/L1,preFecBer,avg,2.98E-05,4,191700000,2,2000/1/1 00:00,Z,ot1
T4,/1/3/L1,preFecBer,avg,1.96E-05,5,191900000,2,2000/1/1 00:00,Z,ot1
T4,/1/1/L1,preFecBer,instant,2.63E-05,6,191500000,2,2000/1/1 00:00,Z,ot1
T4,/1/2/L1,preFecBer,instant,2.88E-05,4,191700000,2,2000/1/1 00:00,Z,ot1
T4,/1/3/L1,preFecBer,instant,1.94E-05,5,191900000,2,2000/1/1 00:00,Z,ot1
T4,/1/1/L1,preFecBer,max,2.93E-05,6,191500000,2,2000/1/1 00:00,Z,ot1
T4,/1/2/L1,preFecBer,max,3.17E-05,4,191700000,2,2000/1/1 00:00,Z,ot1
T4,/1/3/L1,preFecBer,max,2.12E-05,5,191900000,2,2000/1/1 00:00,Z,ot1
T4,/1/1/L1,preFecBer,min,2.61E-05,6,191500000,2,2000/1/1 00:00,Z,ot1
T4,/1/2/L1,preFecBer,min,2.80E-05,4,191700000,2,2000/1/1 00:00,Z,ot1
T4,/1/3/L1,preFecBer,min,1.83E-05,5,191900000,2,2000/1/1 00:00,Z,ot1
T1,/1/4/L1,preFecBer,avg,5.59E-05,2,191600000,1,2000/1/1 00:00,A,ot1
T1,/1/6/L1,preFecBer,avg,6.14E-05,1,191400000,1,2000/1/1 00:00,A,ot1
T1,/1/4/L1,preFecBer,instant,5.60E-05,2,191600000,1,2000/1/1 00:00,A,ot1
